,channel_0,channel_1
0,935,1076
1,935,1076
2,935,1076
3,935,1076
4,935,1076
5,935,1076
6,935,1076
7,935,1076
8,934,1076
9,938,1074
10,937,1074
11,943,1076
12,947,1078
13,951,1074
14,953,1075
15,956,1071
16,959,1071
17,963,1073
18,967,1077
19,972,1074
20,975,1071
21,979,1069
22,976,1067
23,979,1069
24,982,1070
25,985,1070
26,986,1068
27,985,1065
28,983,1065
29,983,1067
30,984,1067
31,983,1067
32,982,1064
33,981,1062
34,977,1062
35,977,1063
36,980,1064
37,977,1063
38,976,1063
39,973,1061
40,968,1060
41,969,1060
42,971,1063
43,970,1064
44,970,1062
45,967,1059
46,963,1058
47,963,1057
48,965,1061
49,966,1058
50,964,1062
51,963,1060
52,961,1059
53,962,1061
54,961,1064
55,965,1062
56,964,1058
57,962,1059
58,961,1058
59,961,1062
60,960,1063
61,961,1057
62,963,1059
63,962,1054
64,958,1055
65,959,1058
66,958,1060
67,960,1059
68,960,1056
69,962,1053
70,959,1052
71,958,1056
72,958,1059
73,959,1056
74,959,1055
75,957,1053
76,957,1054
77,958,1055
78,960,1058
79,960,1058
80,957,1055
81,957,1052
82,955,1052
83,956,1055
84,959,1056
85,960,1055
86,959,1052
87,954,1052
88,952,1051
89,954,1051
90,959,1055
91,962,1051
92,959,1053
93,957,1051
94,956,1052
95,956,1054
96,958,1054
97,959,1054
98,957,1052
99,956,1050
100,955,1050
101,958,1054
102,957,1055
103,959,1054
104,959,1053
105,957,1050
106,956,1051
107,959,1052
108,959,1053
109,960,1052
110,959,1052
111,958,1052
112,955,1051
113,959,1054
114,959,1058
115,959,1055
116,960,1054
117,959,1051
118,958,1052
119,957,1052
120,963,1059
121,962,1063
122,965,1066
123,967,1066
124,966,1067
125,975,1067
126,978,1069
127,982,1069
128,978,1068
129,975,1068
130,975,1065
131,979,1063
132,986,1061
133,993,1058
134,995,1056
135,994,1056
136,993,1058
137,994,1057
138,996,1060
139,998,1057
140,1000,1053
141,999,1051
142,996,1051
143,995,1056
144,994,1057
145,993,1053
146,994,1052
147,989,1049
148,984,1049
149,976,1048
150,968,1048
151,959,1049
152,952,1046
153,948,1044
154,946,1043
155,948,1046
156,948,1049
157,950,1047
158,948,1044
159,945,1043
160,941,1042
161,945,1045
162,945,1045
163,948,1045
164,950,1045
165,949,1046
166,946,1046
167,947,1045
168,948,1049
169,951,1047
170,949,1046
171,950,1043
172,944,1043
173,947,1045
174,950,1046
175,949,1046
176,950,1041
177,950,1041
178,952,1036
179,953,1034
180,953,1036
181,951,1038
182,950,1035
183,950,1030
184,953,1024
185,964,1019
186,982,1010
187,1007,998
188,1034,981
189,1071,962
190,1104,949
191,1142,939
192,1179,941
193,1207,945
194,1229,955
195,1244,963
196,1256,969
197,1260,975
198,1242,984
199,1216,991
200,1189,999
201,1166,1005
202,1139,1013
203,1106,1023
204,1075,1032
205,1053,1032
206,1043,1037
207,1025,1041
208,1003,1043
209,985,1049
210,975,1053
211,967,1052
212,959,1055
213,949,1057
214,938,1057
215,930,1063
216,925,1063
217,923,1060
218,920,1058
219,914,1056
220,912,1055
221,914,1058
222,916,1063
223,920,1063
224,916,1062
225,916,1060
226,914,1058
227,915,1059
228,918,1063
229,921,1064
230,918,1062
231,918,1061
232,917,1063
233,915,1064
234,919,1065
235,921,1066
236,922,1065
237,919,1064
238,917,1065
239,920,1065
240,922,1068
241,923,1069
242,922,1067
243,919,1062
244,917,1065
245,917,1065
246,921,1067
247,922,1067
248,921,1069
249,920,1068
250,918,1065
251,915,1068
252,917,1070
253,919,1069
254,921,1068
255,918,1069
256,917,1069
257,918,1074
258,921,1073
259,920,1074
260,918,1071
261,919,1068
262,921,1070
263,920,1072
264,925,1073
265,928,1075
266,926,1072
267,927,1072
268,925,1071
269,930,1074
270,930,1078
271,934,1077
272,935,1077
273,938,1074
274,937,1074
275,940,1076
276,944,1079
277,949,1074
278,950,1073
279,952,1076
280,954,1076
281,958,1078
282,964,1080
283,972,1077
284,974,1075
285,976,1072
286,977,1072
287,978,1071
288,982,1073
289,983,1072
290,988,1070
291,989,1067
292,987,1066
293,990,1067
294,991,1067
295,992,1067
296,993,1067
297,990,1061
298,990,1063
299,989,1065
300,989,1065
301,987,1063
302,987,1061
303,985,1059
304,984,1059
305,981,1060
306,980,1065
307,981,1061
308,978,1063
309,971,1059
310,968,1057
311,971,1058
312,972,1062
313,971,1061
314,973,1060
315,968,1059
316,962,1057
317,963,1062
318,966,1062
319,967,1061
320,964,1060
321,967,1060
322,966,1058
323,966,1061
324,966,1063
325,965,1059
326,965,1057
327,962,1056
328,962,1057
329,962,1058
330,961,1059
331,961,1061
332,961,1060
333,959,1058
334,958,1057
335,959,1056
336,962,1058
337,961,1057
338,960,1055
339,959,1052
340,952,1055
341,957,1057
342,960,1057
343,962,1056
344,960,1054
345,960,1053
346,958,1053
347,958,1053
348,962,1057
349,966,1055
350,964,1054
351,959,1050
352,958,1049
353,955,1050
354,959,1052
355,960,1053
356,960,1050
357,962,1053
358,961,1053
359,960,1055
360,960,1055
361,961,1053
362,962,1050
363,958,1049
364,956,1049
365,957,1052
366,959,1054
367,960,1053
368,960,1051
369,959,1049
370,955,1050
371,957,1050
372,960,1052
373,960,1053
374,960,1053
375,958,1051
376,952,1049
377,955,1052
378,960,1053
379,960,1053
380,958,1051
381,956,1049
382,953,1053
383,955,1053
384,958,1062
385,963,1063
386,964,1063
387,965,1067
388,963,1067
389,967,1070
390,975,1071
391,979,1071
392,979,1070
393,975,1067
394,972,1063
395,974,1064
396,980,1064
397,983,1063
398,989,1063
399,988,1059
400,989,1057
401,990,1057
402,995,1055
403,1000,1054
404,995,1053
405,994,1050
406,991,1052
407,990,1054
408,991,1059
409,990,1055
410,987,1054
411,983,1050
412,976,1047
413,970,1049
414,959,1052
415,952,1051
416,946,1050
417,945,1051
418,943,1046
419,943,1050
420,941,1050
421,942,1049
422,944,1047
423,942,1047
424,940,1047
425,940,1050
426,944,1053
427,945,1050
428,945,1048
429,944,1046
430,946,1046
431,946,1050
432,947,1050
433,948,1053
434,946,1049
435,944,1048
436,945,1046
437,947,1050
438,949,1050
439,950,1048
440,951,1045
441,947,1043
442,946,1043
443,947,1046
444,946,1048
445,946,1044
446,947,1040
447,950,1032
448,958,1021
449,979,1014
450,1006,1000
451,1042,979
452,1078,961
453,1116,948
454,1152,948
455,1190,956
456,1220,970
457,1241,980
458,1259,981
459,1259,984
460,1237,989
461,1206,999
462,1180,1011
463,1156,1013
464,1130,1021
465,1101,1029
466,1073,1034
467,1059,1040
468,1055,1046
469,1043,1049
470,1024,1052
471,1001,1052
472,986,1055
473,974,1059
474,965,1063
475,954,1067
476,941,1068
477,933,1062
478,926,1063
479,925,1062
480,925,1065
481,922,1065
482,920,1064
483,916,1065
484,912,1065
485,914,1065
486,916,1066
487,920,1068
488,921,1067
489,920,1063
490,918,1064
491,919,1065
492,925,1068
493,929,1067
494,927,1067
495,925,1063
496,922,1063
497,921,1064
498,923,1066
499,925,1065
500,924,1064
501,926,1068
502,925,1068
503,926,1071
504,926,1072
505,927,1071
506,924,1068
507,923,1069
508,921,1069
509,921,1071
510,922,1071
511,923,1070
512,923,1069
513,924,1066
514,923,1066
515,922,1068
516,924,1070
517,924,1070
518,924,1068
519,923,1064
520,919,1066
521,921,1067
522,921,1068
523,921,1071
524,925,1071
525,924,1069
526,922,1067
527,925,1069
528,926,1074
529,930,1071
530,929,1073
531,928,1069
532,929,1071
533,934,1072
534,936,1071
535,941,1074
536,942,1071
537,940,1072
538,944,1071
539,947,1073
540,955,1074
541,959,1074
542,960,1071
543,957,1071
544,959,1069
545,963,1070
546,967,1069
547,973,1069
548,976,1069
549,977,1066
550,977,1066
551,978,1064
552,983,1067
553,986,1064
554,984,1065
555,984,1065
556,980,1062
557,983,1062
558,980,1063
559,983,1065
560,981,1060
561,975,1059
562,972,1061
563,974,1062
564,973,1062
565,974,1060
566,971,1057
567,968,1055
568,964,1057
569,965,1060
570,964,1063
571,964,1060
572,963,1060
573,962,1059
574,958,1060
575,958,1061
576,960,1062
577,961,1062
578,960,1062
579,958,1061
580,955,1060
581,955,1063
582,956,1064
583,957,1063
584,957,1062
585,956,1061
586,953,1058
587,956,1059
588,955,1059
589,956,1058
590,954,1058
591,954,1055
592,951,1058
593,951,1061
594,954,1063
595,957,1058
596,957,1060
597,954,1056
598,952,1056
599,950,1057
600,952,1058
601,955,1058
602,954,1056
603,951,1055
604,951,1053
605,950,1056
606,953,1057
607,953,1056
608,952,1056
609,951,1053
610,951,1054
611,953,1056
612,957,1056
613,956,1054
614,953,1053
615,949,1053
616,947,1055
617,949,1055
618,952,1058
619,954,1056
620,953,1056
621,951,1053
622,949,1053
623,950,1055
624,952,1057
625,953,1056
626,953,1056
627,951,1052
628,951,1052
629,953,1054
630,957,1055
631,959,1057
632,957,1055
633,952,1055
634,949,1053
635,953,1057
636,957,1061
637,960,1062
638,960,1066
639,966,1067
640,964,1068
641,969,1070
642,974,1070
643,980,1065
644,976,1067
645,973,1064
646,975,1062
647,981,1062
648,988,1063
649,990,1062
650,991,1061
651,995,1058
652,997,1061
653,999,1059
654,1001,1059
655,1003,1055
656,1001,1056
657,998,1055
658,990,1054
659,990,1054
660,988,1057
661,988,1057
662,982,1052
663,973,1049
664,961,1050
665,954,1052
666,950,1053
667,949,1050
668,950,1048
669,946,1045
670,943,1045
671,944,1047
672,946,1050
673,949,1049
674,948,1048
675,947,1046
676,943,1046
677,947,1048
678,949,1049
679,949,1049
680,948,1049
681,949,1046
682,948,1046
683,950,1050
684,953,1052
685,954,1052
686,953,1051
687,951,1047
688,949,1044
689,952,1046
690,954,1044
691,956,1044
692,956,1039
693,953,1039
694,948,1041
695,948,1042
696,952,1042
697,960,1036
698,978,1028
699,1004,1016
700,1035,1002
701,1072,988
702,1107,979
703,1146,967
704,1179,960
705,1209,960
706,1230,974
707,1245,989
708,1255,996
709,1252,993
710,1231,996
711,1201,1001
712,1175,1008
713,1154,1016
714,1132,1025
715,1098,1031
716,1062,1038
717,1040,1040
718,1021,1044
719,1008,1048
720,989,1053
721,975,1051
722,963,1054
723,951,1057
724,942,1059
725,934,1065
